X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
10536,13,SB0832,cattle,cattle,64420035_8,64420035_2,64420035,64420035,within,50,60,62,abattage,697,120,cattle->cattle,2011,12,b2012,224,224,64420035_2->64420035_8,64420035_2->64420035_8,64420035_2->64420035_8,64420035_2->64420035_8,64420035_2->64420035_8,64420035_2->64420035_8
10537,13,SB0832,cattle,cattle,64420035_6,64420035_4,64420035,64420035,within,50,51,61,demographie,698,120,cattle->cattle,2011,11,b2012,224,224,64420035_4->64420035_6,64420035_4->64420035_6,64420035_4->64420035_6,64420035_4->64420035_6,64420035_4->64420035_6,64420035_4->64420035_6
10538,13,SB0832,cattle,cattle,64420035_7,64420035_4,64420035,64420035,within,50,53,62,abattage,699,120,cattle->cattle,2011,12,b2012,224,224,64420035_4->64420035_7,64420035_4->64420035_7,64420035_4->64420035_7,64420035_4->64420035_7,64420035_4->64420035_7,64420035_4->64420035_7
10539,13,SB0832,cattle,cattle,64420039_1,64420039_0,64420039,64420039,within,50,51,63,abattage,700,120,cattle->cattle,2011,13,b2012,224,224,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1,64420039_0->64420039_1
10540,13,SB0832,cattle,cattle,64420044_21,64420044_1,64420044,64420044,within,50,-1,53,abattage,701,120,cattle->cattle,2011,3,b2012,224,224,64420044_1->64420044_21,64420044_1->64420044_21,64420044_1->64420044_21,64420044_1->64420044_21,64420044_1->64420044_21,64420044_1->64420044_21
10541,13,SB0832,cattle,cattle,64420044_23,64420044_11,64420044,64420044,within,50,51,51,abattage,702,120,cattle->cattle,2011,1,b2012,224,224,64420044_11->64420044_23,64420044_11->64420044_23,64420044_11->64420044_23,64420044_11->64420044_23,64420044_11->64420044_23,64420044_11->64420044_23
10542,13,SB0832,cattle,cattle,64420044_22,64420044_5,64420044,64420044,within,50,51,51,abattage,703,120,cattle->cattle,2011,1,b2012,224,224,64420044_5->64420044_22,64420044_5->64420044_22,64420044_5->64420044_22,64420044_5->64420044_22,64420044_5->64420044_22,64420044_5->64420044_22
10543,13,SB0832,cattle,cattle,64420044_20,64420044_8,64420044,64420044,within,50,51,51,abattage,704,120,cattle->cattle,2011,1,b2012,224,224,64420044_8->64420044_20,64420044_8->64420044_20,64420044_8->64420044_20,64420044_8->64420044_20,64420044_8->64420044_20,64420044_8->64420044_20
10544,13,SB0832,cattle,cattle,64420039_2,64420038_0,64420039,64420038,pasture,52,55,62,demographie,751,120,cattle->cattle,2011,10,b2012,224,224,64420038_0->64420039_2,64420038_0->64420039_2,64420038_0->64420039_2,64420038_0->64420039_2,64420038_0->64420039_2,64420038_0->64420039_2
10545,13,SB0832,cattle,cattle,64420044_24,64420044_2,64420044,64420044,within,52,-1,53,abattage,752,120,cattle->cattle,2011,1,b2012,224,224,64420044_2->64420044_24,64420044_2->64420044_24,64420044_2->64420044_24,64420044_2->64420044_24,64420044_2->64420044_24,64420044_2->64420044_24
10546,13,SB0832,cattle,cattle,64420044_25,64420007_0,64420044,64420007,pasture,53,-1,53,abattage,777,120,cattle->cattle,2011,0,b2012,224,224,64420007_0->64420044_25,64420007_0->64420044_25,64420007_0->64420044_25,64420007_0->64420044_25,64420007_0->64420044_25,64420007_0->64420044_25
10547,13,SB0832,cattle,cattle,64420044_26,64420007_0,64420044,64420007,pasture,53,-1,53,abattage,778,120,cattle->cattle,2011,0,b2012,224,224,64420007_0->64420044_26,64420007_0->64420044_26,64420007_0->64420044_26,64420007_0->64420044_26,64420007_0->64420044_26,64420007_0->64420044_26
10548,13,SB0832,cattle,cattle,64420035_11,64420035_1,64420035,64420035,within,53,58,62,abattage,779,120,cattle->cattle,2011,9,b2012,224,224,64420035_1->64420035_11,64420035_1->64420035_11,64420035_1->64420035_11,64420035_1->64420035_11,64420035_1->64420035_11,64420035_1->64420035_11
10549,13,SB0832,cattle,cattle,64420047_15,64420038_0,64420047,64420038,pasture,53,55,59,demographie,780,120,cattle->cattle,2011,6,b2012,224,224,64420038_0->64420047_15,64420038_0->64420047_15,64420038_0->64420047_15,64420038_0->64420047_15,64420038_0->64420047_15,64420038_0->64420047_15
10550,13,SB0832,cattle,cattle,64420039_3,64420039_1,64420039,64420039,within,53,54,63,abattage,781,120,cattle->cattle,2011,10,b2012,224,224,64420039_1->64420039_3,64420039_1->64420039_3,64420039_1->64420039_3,64420039_1->64420039_3,64420039_1->64420039_3,64420039_1->64420039_3
10551,13,SB0832,cattle,cattle,64420047_13,64420044_11,64420047,64420044,pasture,53,54,60,abattage,782,120,cattle->cattle,2011,7,b2012,224,224,64420044_11->64420047_13,64420044_11->64420047_13,64420044_11->64420047_13,64420044_11->64420047_13,64420044_11->64420047_13,64420044_11->64420047_13
