X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
25830,13,SB0832,cattle,cattle,64420039_3,64420035_2,64420039,64420035,pasture,58,61,66,abattage,428,135,cattle->cattle,2011,8,b2012,235,235
25831,13,SB0832,cattle,cattle,64420035_12,64420035_5,64420035,64420035,within,58,58,68,abattage,429,135,cattle->cattle,2011,10,b2012,235,235
25832,13,SB0832,cattle,cattle,64420038_10,64420038_4,64420038,64420038,within,58,60,65,abattage,430,135,cattle->cattle,2011,7,b2012,235,235
25833,13,SB0832,cattle,cattle,64420038_12,64420038_4,64420038,64420038,within,58,62,65,abattage,431,135,cattle->cattle,2011,7,b2012,235,235
25834,13,SB0832,cattle,cattle,64420038_11,64420038_5,64420038,64420038,within,58,59,65,abattage,432,135,cattle->cattle,2011,7,b2012,235,235
25835,13,SB0832,cattle,cattle,64281001_3,64281001_1,64281001,64281001,within,59,67,67,abattage,451,135,cattle->cattle,2011,8,b2012,235,235
25836,13,SB0832,cattle,cattle,64420035_15,64420035_1,64420035,64420035,within,59,63,68,abattage,459,135,cattle->cattle,2011,9,b2012,235,235
25837,13,SB0832,cattle,cattle,64420035_13,64420035_2,64420035,64420035,within,59,-1,68,abattage,460,135,cattle->cattle,2011,9,b2012,235,235
25838,13,SB0832,cattle,cattle,64420035_14,64420035_6,64420035,64420035,within,59,-1,68,abattage,461,135,cattle->cattle,2011,9,b2012,235,235
25839,13,SB0832,cattle,cattle,64420035_16,64420035_7,64420035,64420035,within,59,-1,68,abattage,462,135,cattle->cattle,2011,9,b2012,235,235
25840,13,SB0832,cattle,cattle,64420038_14,64420038_11,64420038,64420038,within,59,-1,65,abattage,463,135,cattle->cattle,2011,6,b2012,235,235
25841,13,SB0832,cattle,cattle,64420038_15,64420038_2,64420038,64420038,within,59,-1,61,demographie,464,135,cattle->cattle,2011,2,b2012,235,235
25842,13,SB0832,cattle,cattle,64420038_13,64420038_5,64420038,64420038,within,59,64,65,abattage,465,135,cattle->cattle,2011,6,b2012,235,235
25843,13,SB0832,cattle,cattle,64420039_4,64420039_0,64420039,64420039,within,59,60,66,abattage,466,135,cattle->cattle,2011,7,b2012,235,235
25844,13,SB0832,cattle,cattle,64420039_5,64420039_1,64420039,64420039,within,59,63,66,abattage,467,135,cattle->cattle,2011,7,b2012,235,235
25845,13,SB0832,cattle,cattle,64281001_4,64281001_1,64281001,64281001,within,60,-1,67,abattage,474,135,cattle->cattle,2012,7,b2016,235,235
25846,13,SB0832,cattle,cattle,64420012_26,64420012_12,64420012,64420012,within,60,-1,64,abattage,481,135,cattle->cattle,2012,4,b2016,235,235
25847,13,SB0832,cattle,cattle,64420012_28,64420012_14,64420012,64420012,within,60,-1,64,abattage,482,135,cattle->cattle,2012,4,b2016,235,235
25848,13,SB0832,cattle,cattle,64420012_27,64420012_3,64420012,64420012,within,60,-1,64,abattage,483,135,cattle->cattle,2012,4,b2016,235,235
25849,13,SB0832,cattle,cattle,64420035_17,64420035_10,64420035,64420035,within,60,-1,68,abattage,484,135,cattle->cattle,2012,8,b2016,235,235
25850,13,SB0832,cattle,cattle,64420035_18,64420035_6,64420035,64420035,within,60,65,68,abattage,485,135,cattle->cattle,2012,8,b2016,235,235
25851,13,SB0832,cattle,cattle,64420038_16,64420038_0,64420038,64420038,within,60,-1,65,abattage,486,135,cattle->cattle,2012,5,b2016,235,235
25852,13,SB0832,cattle,cattle,64420039_6,64420039_0,64420039,64420039,within,60,65,66,abattage,487,135,cattle->cattle,2012,6,b2016,235,235
25853,13,SB0832,cattle,cattle,64420039_7,64420039_0,64420039,64420039,within,60,61,66,abattage,488,135,cattle->cattle,2012,6,b2016,235,235
25854,13,SB0832,cattle,cattle,64281001_5,64281001_1,64281001,64281001,within,61,62,67,abattage,497,135,cattle->cattle,2012,6,b2016,235,235
25855,13,SB0832,cattle,cattle,64281001_6,64281001_1,64281001,64281001,within,61,63,67,abattage,498,135,cattle->cattle,2012,6,b2016,235,235
25856,13,SB0832,cattle,cattle,64420012_29,64420012_15,64420012,64420012,within,61,-1,64,abattage,503,135,cattle->cattle,2012,3,b2016,235,235
25857,13,SB0832,cattle,cattle,64420035_19,64420035_12,64420035,64420035,within,61,66,68,abattage,504,135,cattle->cattle,2012,7,b2016,235,235
25858,13,SB0832,cattle,cattle,64420035_20,64420035_2,64420035,64420035,within,61,64,68,abattage,505,135,cattle->cattle,2012,7,b2016,235,235
25859,13,SB0832,cattle,cattle,64420038_19,64420038_4,64420038,64420038,within,61,64,65,abattage,506,135,cattle->cattle,2012,4,b2016,235,235
25860,13,SB0832,cattle,cattle,64420038_20,64420038_5,64420038,64420038,within,61,62,65,abattage,507,135,cattle->cattle,2012,4,b2016,235,235
25861,13,SB0832,cattle,cattle,64420038_17,64420038_9,64420038,64420038,within,61,-1,65,abattage,508,135,cattle->cattle,2012,4,b2016,235,235
25862,13,SB0832,cattle,cattle,64420038_18,64420038_9,64420038,64420038,within,61,-1,65,abattage,509,135,cattle->cattle,2012,4,b2016,235,235
25863,13,SB0832,cattle,cattle,64420039_9,64420039_1,64420039,64420039,within,61,62,66,abattage,510,135,cattle->cattle,2012,5,b2016,235,235
25864,13,SB0832,cattle,cattle,64420039_8,64420039_4,64420039,64420039,within,61,64,66,abattage,511,135,cattle->cattle,2012,5,b2016,235,235
25865,13,SB0832,cattle,cattle,64420039_10,64420039_4,64420039,64420039,within,61,62,66,abattage,512,135,cattle->cattle,2012,5,b2016,235,235
25866,13,SB0832,cattle,cattle,64281001_7,64281001_0,64281001,64281001,within,62,-1,67,abattage,517,135,cattle->cattle,2012,5,b2016,235,235
25867,13,SB0832,cattle,cattle,64420012_32,64420012_1,64420012,64420012,within,62,63,64,abattage,522,135,cattle->cattle,2012,2,b2016,235,235
25868,13,SB0832,cattle,cattle,64420012_30,64420012_13,64420012,64420012,within,62,63,64,abattage,523,135,cattle->cattle,2012,2,b2016,235,235
